#--------------------------------------------------------------------------------,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,Alkalinity ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,meq/l     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        1.,0, ,     10.65,0, ,    17.534,0, ,      272.,0, ,      0.20,0, ,      8.59,0, ,    0.0098,0, ,      7.86,0, ,      0.84,0, ,      3.37,0, ,      1.38,0, ,
         2,        5.,0, ,      9.72,3, ,    22.609,0, ,      259.,0, ,      0.23,0, ,      7.01,0, ,      0.16,0, ,      7.91,0, ,      0.92,0, ,      2.23,0, ,      1.71,0, ,
         3,       10.,0, ,      1.82,3, ,    27.385,0, ,      230.,0, ,      0.35,0, ,      0.70,0, ,      1.40,0, ,      7.85,0, ,      2.53,0, ,      0.35,0, ,      2.18,0, ,
         4,       15.,0, ,      0.69,0, ,    28.172,0, ,      161.,0, ,      0.73,0, ,      4.67,0, ,      4.15,0, ,      7.73,0, ,     18.78,0, ,      0.17,0, ,      2.45,0, ,
         5,       23.,0, ,      0.57,0, ,    28.218,0, ,      147.,0, ,      1.60,0, ,      7.01,0, ,      4.53,0, ,      7.73,0, ,     22.68,0, ,      0.22,0, ,      2.45,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469288,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              6,,,
Day                         ,,             16,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,Alkalinity ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,meq/l     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        1.,0, ,     15.05,0, ,    24.507,0, ,      254.,0, ,      0.29,0, ,      3.55,0, ,       0.0,0, ,      8.22,0, ,      0.60,0, ,      1.03,0, ,      1.59,0, ,
         2,        5.,0, ,     13.38,3, ,    25.607,0, ,      251.,0, ,      0.38,0, ,      2.05,0, ,     0.059,0, ,      8.24,0, ,      0.51,0, ,      1.96,0, ,      1.74,0, ,
         3,       10.,0, ,      1.96,3, ,    28.004,0, ,      164.,0, ,      1.00,0, ,      3.95,0, ,      3.28,0, ,      7.92,0, ,     12.54,0, ,      1.65,0, ,      2.14,0, ,
         4,       15.,0, ,      1.03,0, ,    28.167,0, ,      129.,0, ,      1.78,0, ,      7.78,0, ,      4.40,0, ,      7.80,0, ,     23.22,0, ,      0.27,0, ,      2.34,0, ,
         5,       23.,0, ,      0.92,0, ,    28.197,0, ,      101.,0, ,   ---*---,0, ,   ---*---,0, ,   ---*---,0, ,      7.75,0, ,   ---*---,0, ,   ---*---,0, ,      2.34,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469289,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              6,,,
Day                         ,,             22,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,Alkalinity ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,meq/l     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,          ,7, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        1.,0, ,     18.35,3, ,    21.438,0, ,      229.,0, ,      0.53,0, ,      2.13,0, ,       0.0,0, ,      8.38,0, ,      0.70,0, ,      4.25,0, ,      1.52,0, ,
         2,        5.,0, ,     15.34,3, ,    26.547,0, ,      215.,0, ,      0.76,0, ,      2.04,0, ,     0.029,0, ,      8.37,0, ,      1.16,0, ,      1.96,0, ,      1.81,0, ,
         3,       10.,0, ,      1.80,3, ,    28.052,0, ,      146.,0, ,      0.84,0, ,      1.80,0, ,      2.07,0, ,      8.06,0, ,      2.79,0, ,      2.23,0, ,      2.17,0, ,
         4,       15.,0, ,      1.08,0, ,    28.173,0, ,      239.,0, ,      1.76,0, ,      7.03,0, ,      4.96,0, ,      7.89,0, ,     22.02,0, ,      0.40,0, ,      2.21,0, ,
         5,       23.,0, ,      1.04,0, ,    28.195,0, ,      86.8,0, ,      2.79,0, ,      8.44,0, ,      3.75,0, ,      7.83,0, ,     27.00,0, ,      0.18,0, ,      2.24,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469290,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              6,,,
Day                         ,,             30,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,Alkalinity ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,meq/l     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,          ,7, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        1.,0, ,     16.81,0, ,    26.381,0, ,      232.,0, ,      0.54,0, ,      2.98,0, ,       0.0,0, ,      8.11,0, ,      0.30,0, ,      2.70,0, ,      1.94,0, ,
         2,        5.,0, ,     16.25,3, ,    26.459,0, ,      229.,0, ,      0.56,0, ,      1.59,0, ,    0.0098,0, ,      8.12,0, ,      0.54,0, ,      2.63,0, ,      1.94,0, ,
         3,       10.,0, ,      3.25,3, ,    27.967,0, ,      143.,0, ,      1.02,0, ,      2.95,0, ,      3.36,0, ,      7.82,0, ,      9.16,0, ,      2.09,0, ,      2.18,0, ,
         4,       15.,0, ,      1.26,0, ,    28.159,0, ,      111.,0, ,      2.42,0, ,      8.73,0, ,      5.23,0, ,      7.67,0, ,     27.30,0, ,      0.32,0, ,      2.39,0, ,
         5,       23.,0, ,      1.10,0, ,    28.182,0, ,      97.6,0, ,      3.38,0, ,     12.25,0, ,      5.34,0, ,      7.62,0, ,     30.90,0, ,      0.12,0, ,      2.41,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469291,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              7,,,
Day                         ,,              7,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,5, ,          ,3, ,          ,7, ,          ,0, ,          ,0, ,          ,0, ,          ,7, ,          ,0, ,,
         1,        1.,0, ,     18.11,0, ,    26.158,0, ,      235.,0, ,      0.61,0, ,      1.30,0, ,       0.0,0, ,      8.06,0, ,      1.32,0, ,      4.05,0, ,
         2,        5.,0, ,     16.20,3, ,    27.274,0, ,      208.,0, ,      1.56,0, ,      2.04,0, ,     0.078,0, ,      8.04,0, ,      0.77,0, ,      2.63,0, ,
         3,       10.,0, ,      2.67,3, ,    28.041,0, ,      131.,0, ,      1.00,0, ,      2.55,0, ,      0.52,2, ,      7.74,0, ,      1.36,0, ,      0.86,0, ,
         4,       15.,0, ,      1.38,0, ,    28.221,0, ,      107.,0, ,      2.21,0, ,      7.75,0, ,      6.50,2, ,      7.62,0, ,     23.76,0, ,      0.38,0, ,
         5,       23.,0, ,      1.23,0, ,    28.208,0, ,      89.3,0, ,   ---*---,0, ,   ---*---,0, ,   ---*---,0, ,      7.61,0, ,   ---*---,0, ,   ---*---,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469292,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              7,,,
Day                         ,,             21,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,5, ,          ,3, ,          ,7, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        1.,0, ,     19.82,0, ,    25.263,0, ,      224.,0, ,      0.61,0, ,      3.10,0, ,    0.0098,0, ,      8.05,0, ,      0.52,0, ,      3.58,0, ,
         2,        5.,0, ,     19.07,3, ,    27.696,0, ,      224.,0, ,      0.74,0, ,      3.64,0, ,       0.0,0, ,      8.10,0, ,      0.29,0, ,      4.18,0, ,
         3,       10.,0, ,      7.66,3, ,    28.383,0, ,      141.,0, ,      1.00,0, ,      4.27,0, ,      0.51,2, ,      7.80,0, ,      0.59,0, ,      0.81,0, ,
         4,       15.,0, ,      2.00,3, ,    28.156,0, ,      70.3,0, ,      2.87,0, ,     10.00,0, ,      8.17,2, ,      7.61,0, ,     23.82,0, ,      0.27,0, ,
         5,       23.,0, ,      1.62,0, ,    28.152,0, ,      62.9,0, ,      4.18,0, ,     11.14,0, ,      7.15,0, ,      7.54,0, ,     24.00,0, ,      0.17,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469293,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              7,,,
Day                         ,,             28,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,5, ,          ,3, ,          ,7, ,          ,0, ,          ,5, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        1.,0, ,     21.21,0, ,    22.505,0, ,      221.,0, ,      0.73,0, ,      4.27,0, ,       0.0,0, ,      8.02,0, ,      0.55,0, ,      3.44,0, ,
         2,        5.,0, ,     19.51,3, ,    27.556,0, ,      185.,0, ,      0.89,0, ,      5.52,0, ,       0.0,0, ,      7.98,0, ,      0.19,0, ,      5.26,0, ,
         3,       10.,0, ,     12.51,3, ,    28.348,0, ,      82.9,0, ,      1.66,0, ,      7.80,0, ,      0.54,2, ,      7.80,0, ,      2.72,0, ,      0.50,0, ,
         4,       15.,0, ,      2.46,3, ,    28.154,0, ,      52.2,0, ,      3.50,0, ,      4.61,0, ,      6.63,2, ,      7.61,0, ,     12.29,0, ,      0.15,0, ,
         5,       23.,0, ,      1.97,0, ,    28.160,0, ,      49.3,0, ,      4.82,1, ,     13.69,0, ,      6.33,0, ,      7.53,0, ,     27.72,0, ,      0.12,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469294,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              8,,,
Day                         ,,             11,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,Alkalinity ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,meq/l     ,, , ,,
Prof-Flag ,          ,0, ,          ,0, ,          ,0, ,          ,3, ,          ,7, ,          ,0, ,          ,7, ,          ,0, ,          ,0, ,          ,0, ,          ,0, ,,
         1,        1.,0, ,     20.06,0, ,    27.156,0, ,      225.,0, ,      1.15,0, ,      5.06,0, ,       0.0,0, ,      8.13,0, ,      0.89,0, ,      5.46,0, ,      1.98,0, ,
         2,        5.,0, ,     18.54,0, ,    28.109,0, ,      208.,0, ,      1.27,0, ,      4.80,0, ,      0.11,0, ,      8.11,0, ,      0.22,0, ,      4.39,0, ,      2.02,0, ,
         3,       10.,0, ,     16.58,3, ,    28.476,0, ,      201.,0, ,      1.98,0, ,      3.77,0, ,      1.98,2, ,      8.09,0, ,      1.11,0, ,      0.83,0, ,      2.04,0, ,
         4,       15.,0, ,      3.34,3, ,    28.178,0, ,      26.8,0, ,      3.71,0, ,     13.05,0, ,     14.88,2, ,      7.55,0, ,      0.99,0, ,      0.23,0, ,      2.38,0, ,
         5,       23.,0, ,      2.37,0, ,    28.164,0, ,      14.1,0, ,      5.80,1, ,     12.82,0, ,      5.38,3, ,      7.48,0, ,      8.84,0, ,      0.10,0, ,      2.44,0, ,
END OF VARIABLES SECTION,
#--------------------------------------------------------------------------------,
CAST                        ,,        8469295,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,CA-12845       ,,,
Originators Station ID      ,,              1,,,integer,
Originators Cruise ID       ,,3              ,,,
Latitude                    ,,        44.6708,decimal degrees,,
Longitude                   ,,         -63.60,decimal degrees,,
Year                        ,,           1971,,,
Month                       ,,              8,,,
Day                         ,,             18,,,
METADATA,
Country                     ,,             CA,NODC code,CANADA
Accession Number            ,,           369.,NODC code,,
Institute                   ,,           149.,NODC code,BEDFORD INSTITUTE OF OCEANOGRAPHY (DARTMOUTH; NOVA SCOTIA),
Bottom depth                ,,            24.,meters,,
Secchi disk depth           ,,            15.,meters,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,             3.,WOD code,GODAR Project,
Original units        ,Oxygen,            37.,NODC code,mg-at/l,
Original units     ,Phosphate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units      ,Silicate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Original units       ,Nitrate,             7.,NODC code,ug-at/l            mmol/m3  umol/l  uM  umol/dm3,
Measure method   ,Chlorophyll,           600.,WOD code,Fluoroscence,
VARIABLES ,Depth     ,F,O,Temperatur ,F,O,Salinity   ,F,O,Oxygen     ,F,O,Phosphate  ,F,O,Silicate   ,F,O,Nitrate    ,F,O,pH         ,F,O,Ammonia    ,F,O,Chlorophyl ,F,O,Alkalinity ,F,O,,
UNITS     ,m         , , ,degrees C ,, , ,PSS       ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,umol/kg   ,, , ,(n/a)     ,, , ,umol/l    ,, , ,ug/l      ,, , ,meq/l     ,, , ,,
